slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material,movement_type,history,event_date,landslide
ASM/DH/83G4/ PD/2016/15,Assam,Dima Hasao,Boro Haflong-1,"Near Boro Haflong village, Haflong, Dima Hasao (NC Hills)",25.15069444,93.02583333,Debris,slide,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD/2016/16,Assam,Dima Hasao,"Vidya Mandir, Boro Haflong-2","Boro Haflong, Haflong, Dima Hasao (NC Hills)",25.14586111,93.02419444,Debris,Slide,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD/2016/17,Assam,Dima Hasao,"Near and below Assam rifles camp, Boro Haflong-3.","Boro Haflong, Haflong, Dima Hasao (NC Hills)",25.14041667,93.02038889,Debris,Slide,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD/2016/18,Assam,Dima Hasao,Jatinga-Haflong Road section-1.,"Jatinga-Haflong Road section, Haflong, Dima Hasao (NC Hills)",25.13961111,93.01955556,Debris,Slide,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD/2016/23,Assam,Dima Hasao,Mahur,"Mahur, Dima Hasao (NC Hills)",25.17638889,93.11613889,Debris,Slide,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD/2016/05,Assam,Dima Hasao (N.C. Hills),Khongsai slide-1,"Khongsai village, Haflong,",25.1775,93.02622222,Earth,Shallow rotational,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD/2016/08,Assam,Dima Hasao,Khongsai slide- 2,"Khongsai village, Haflong, Dima Hasao (NC Hills)",25.17691667,93.02655556,Earth,Slide,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD/2016/09,Assam,Dima Hasao,Muolhoi /Gilgal,"Muolhoi /Gilgal village, Haflong, Dima Hasao (NC Hills)",25.17702778,93.02088889,Earth,Slide,22 May 2016,2016-05-22,1
ASM/DH/83G4/ PD/2016/19,Assam,Dima Hasao,Jatinga-2,"Jatinga, Haflong, Dima Hasao (NC Hills)",25.13447222,93.01897222,Rock,Slide,22 May 2016,2016-05-22,1
ASM/KAM (M)/78N16/2017/0006,Assam,Kamrup (Metro),"Bonda, Hajongdisa slide",Tuinang colony,26.18841667,91.85125,Earth,Slide,16 June 2017,2017-06-16,1
ASM/KAM(M)/78N16/2016/63,Assam,Kamrup (Metro),Mandakini slide,"Mandakini path, Kharghuli",26.19244444,91.76422222,Earth,Slide,20 July 2016,2016-07-20,1
ASM/KAM/78N16/2019/03,Assam,Kamrup (Metro),Amiya Nagar Slide,Chandmari,26.19236111,91.78080556,Debris,Subsidence,10 July 2019,2019-07-10,1
ASM/KAM/78N12/2019/04,Assam,Kamrup (Metro),Bezbaruah Nagar slide,"Nilachalpur, Bezbaruah Nagar",26.15805556,91.71258333,Debris,Slide,16 July 2019,2019-07-16,1
ASM/West Sarania/78N16/2016- 17/65,Assam,Kamrup (Metro),West Sarania slide (Guwahati),"Pub Sarania hill, Guwahati.",26.1755,91.76175,Debris,Slide,14 July 2016,2016-07-14,1
ASM/ Nijabara/78N16/2016- 17/64,Assam,Kamrup (Metro),Nijabara slide (Guwahati),"Noonmati, Guwahati.",26.19038889,91.80994444,Earth,Slide,14 July 2016,2016-07-14,1
AS/KAMRUP(M)/78N16/2014- 15/0004,Assam,Kamrup (Metro),"Nabragraha Slide, Bapuji Nagar Housing Complex.","SH: Chandmari Road. Localtiy: Bapuji Nagar Housing Complex, Guwahati.",26.18866667,91.76694444,Earth,Flow,27 June 2014,2014-06-27,1
AS/KAMRUP(M)/78N16/2014- 15/0005,Assam,Kamrup (Metro),"Karghuli Landslide, Bankuwar Nagar, Guwahati.(Twin Slide in same road)","SH: Chandmari Road. Localtiy: Bankuwar Nagar, Karghuli Pahar, Guwahati.",26.19622222,91.76336111,Earth,Flow,27 June 2014,2014-06-27,1
AS/KAM/76N16/2024/1,Assam,Kamrup (Metro),Garo Basti Slide,"Garo Basti Slide, 8th Mile, Guwahati",26.11464,91.83886,Earth,Slide,05 July 2024,2024-07-05,1
ASM/KAM (M)/78N16/2017/0004,Assam,Kamrup (Metro),Dakshin Saraniya-2,Ganpat Mandir road,26.17755556,91.76588889,Debris,Slide,13 June 2017,2017-06-13,1
ASM/KAM (M)/78N16/2017/04,Assam,Kamrup (Metro),Dakshin Saraniya-1,Ganpat Mandir road,26.17672222,91.76525,Debris,Slide,13 June 2017,2017-06-13,1
ASM/KAM (M)/78N16/2017/0003,Assam,Kamrup (Metro),Anandapur-Gangapur slide,Hengrabari,26.15427778,91.79263889,Debris,Slide,13 June 2017,2017-06-13,1
AS/KAMRUP (M)/78N16/2014- 15/0002,Assam,Kamrup (Metro),Udayachal Slide.,"Guwahati-Shillong Road (Merges with NH-37), Udayachal pahar, Near Guwahati Medical College.",26.15477778,91.77411111,Earth,Flow,27 june 2014,2014-06-27,1
AS/KAMRUP(M)/78N16/2014- 15/0003,Assam,Kamrup (Metro),"Bamunimaidan, South Railway Colony slide.","SH: Zoo Tiniali-Narengi Road. Localtiy: Bamunimaidan, South Railway Colony (Near Hatigar), Guwahati.",26.17672222,91.78672222,Earth,Flow,27 june 2014,2014-06-27,1
ASM/KAMRUP(M)/78N16/2016- 17/057,Assam,Kamrup (Metro),Jyotinagar Slide,"Akashi Nagar, Jyoti Nagar, Guwahati.",26.1895,91.78716667,Earth,Slide,18 April 2016,2016-04-18,1
ASM/DH/83G3/ PD/2017 /02,Assam,Dima Hasao (N.C. Hills),Mupa slide,"Between Mupa and Dinhaku Railway Station,",25.40586111,93.11097222,Debris,Slide,20 May 2017,2017-05-20,1
ASM/DH/83G3/ PD/2017 /01,Assam,Dima Hasao (N.C. Hills),Boila bridge slide,"Between Mupa and Dinhaku Bridge approach no102, at km 51/9 as 52/1",25.39155556,93.11316667,Soil,Subsidence,03 June 2017,2017-06-03,1
AS/KRP/78N/16/2018/003,Assam,Kamrup,Hastinapur landslide,Hastinapur Near Jorabat opposite of cow bazaar.,26.11266667,91.85388889,Debris,Slide,24 August 2018,2018-08-24,1
AS/KRP/78N16/2018/002,Assam,Kamrup,Kharghuli slide,"Kharghuli area, near Kharghuli post office in Guwahati.",26.19530556,91.76563889,Debris,Slide,31 August 2018,2018-08-31,1
AS/KAMRUP/78N12/2015- 16/0001,Assam,Kamrup,Jayguru Kalipahar Slide,"About 200 m North of NH-31, In north of IIT(G) approach",26.21111111,91.68416667,Debris,Toppled the wedged weathered rocks blocks.,01 September 2015,2015-09-01,1
ASM/KAM/78N16/2020/001,Assam,Kamrup (Metro),Hirimbapur landslide,Kharghuli,26.19330556,91.77725,Debris,Slide,28 June 2020,2020-06-28,1
ASM/KAM/78N16/2020/002,Assam,Kamrup (Metro),Ambher landslide,12th mile near Jorabat,26.09150556,91.87898611,Earth,Slide,12 July 2020,2020-07-12,1
ASM/KAM/78N12/2020/003,Assam,Kamrup (Metro),Gauripur landslide,NH-31,26.21305556,91.6925,Rock,Fall,26 June 2020,2020-06-26,1
ASM/K(M)/78N16/2022-23/003,Assam,Kamrup (Metro),Salbari,Near Noonmati bazaar road,26.1916,91.80361,Debris,Slide,16 June 2022,2022-06-16,1
ASM/K(M)/78N16/2022-23/001,Assam,Kamrup (Metro),Upper Luitpur,Upper Luitpur,26.19322,91.77033,Earth,Slide,16 June 2022,2022-06-16,1
ASM/K(M)/78N16/2022-23/002,Assam,Kamrup (Metro),Anandanagar,Anandanagar,26.18789,91.79493,Earth,Slide,17 June 2022,2022-06-17,1
ASM/DH/83G04/2022-23/023,Assam,Dima Hasao,Disgao Raji Slide,"Disgao Raji, Haflong",25.17136,93.01102,Debris,Slide,14 May 2022,2022-05-14,1
ASM/DH/83G04/2022-23/030,Assam,Dima Hasao,Merryland Slide,Merryland colony,25.177416,93.00975,Debris,Slide,16 May 2022,2022-05-16,1
ASM/DH/83G04/2022-23/022,Assam,Dima Hasao,Lower Haflong Slide 2,Lower Haflong,25.18919,93.02118,Debris,Slide,15 May 2022,2022-05-15,1
AS/KRM/83D06/2014-15/0001,Assam,Karimganj,"Satkaragul (Pathariya Hills RF),","NH-44. Satkaragul Village near Nilambazar, Nilambazar Circle, Karimganj.",24.70619444,92.28997222,Earth,Flow,10 May 2014,2014-05-10,1
ASM/DH/83G04/2022-23/021,Assam,Dima Hasao,Moulhoi Slide 1,"Gilgal Veng, Moulhoi, Haflong",25.17623,93.01326,Debris,Slide,14 May 2022,2022-05-14,1
AS/KAM(M)/78N16/2025/006,Assam,Kamrup,"Doimuguri, Bonda","Doimuguri,",26.19113889,91.82961111,Earth,Slide,31 May 2025,2025-05-31,1
AS/KAM(M)/78N16/2025/05,Assam,Kamrup,Rupnagar,,26.158193,91.755807,Debris,Slide,06 June 2025,2025-06-06,1
AS/KAM(M)/78N12/2025/01,Assam,Kamrup,Kamakhya Main Road,Kamakhya Road,26.166185,91.7147,Earth,Slide,04 June 2025,2025-06-04,1
AS/KAM(M)/78N12/2025/04,Assam,Kamrup,Pandu,Pandu,26.17027,91.698,Debris,Slide,31 May 2025,2025-05-31,1
ASM/DH/83C16/2023-24/001,Assam,Dima Hasao,Lower Boulsol slide,Lower Boulsol,25.117665,92.847709,Debris,Slide,14 May 2022,2022-05-14,1
ASM/DH/83C15/2023-24/001,Assam,Dima Hasao,Old Sangbar playground slide,Old Sangbar,25.366255,92.823037,Debris,Slide,14 May 2022,2022-05-14,1
ASM/DH/83G03/2023-24/004,Assam,Dima Hasao,Gunjung subsidence,Gunjung,25.316197,93.006158,Earth,Subsidence,16 June 2022,2022-06-16,1
6986,Assam,Kamrup,Sundarpur village,,25.757752,91.252285,Debris,flow,17 July 2014,2014-07-17,1
7077,Assam,Kamrup (Metro),708,,26.238016,91.945953,Soil,slide,2 November 2025,2025-11-02,1
7115,Assam,Kamrup,lepgaon,,25.872268,91.213965,Debris,flow,23 September 2014,2014-09-23,1
7192,Assam,Kamrup,,,26.2272613,91.6922458,Debris,slide,26 December 2008,2008-12-26,1
7193,Assam,Kamrup (Metro),Birkuchi,,26.184324,91.855395,Soil,slide,31 May 2025,2025-05-31,1
7194,Assam,Kamrup,,,26.24698,91.964383,Debris,slide,05 July 2025,2025-07-05,1
7195,Assam,Kamrup (Metro),Nalgedra,,26.11956,92.052125,Soil,slide,05 June 2025,2025-06-05,1
7196,Assam,Dima Hasao,,,25.69814,93.129423,Soil,slide,05 June 2025,2025-06-05,1
7197,Assam,Dima Hasao,,,25.648512,93.121528,Debris,slide,05 June 2025,2025-06-05,1
7201,Assam,West Khasi Hills,Harsanagar,,25.740148,91.224044,Soil,slide,18 July 2014,2014-07-18,1
7241,Assam,Kamrup (Metro),Amchong tea estate,,26.156633,91.938576,Soil,slide,8 August 2024,2024-08-08,1
ARN/Papumpare/83E12/2020/0 1,Arunachal Pradesh,Papum Pare,,,27.08130556,93.61283333,Unconsolidated rock debris and sandy soil.,Translation (Debris flow),25 June 2020,2020-06-25,1
ARN/LS/83E15/2016/04,Arunachal Pradesh,Lower Subansiri,Hoj-Potin slide,National Highway 713-A,27.193425,93.780983,Debris,Slide,16 July 2016,2016-07-16,1
ARN/LS/83E15/2016/08,Arunachal Pradesh,Lower Subansiri,Hoj-Potin slide,National Highway 713-A,27.23995,93.806589,Debris,Slide,17 July 2016,2016-07-17,1
ARN/LS/83E15/2016/07,Arunachal Pradesh,Lower Subansiri,Hoj-Potin slide,National Highway 713-A,27.246131,93.804711,Debris,Slide,17 July 2016,2016-07-17,1
ARN/LS/83E15/2016/06,Arunachal Pradesh,Lower Subansiri,Hoj-Potin slide,National Highway 713-A,27.254756,93.801303,Debris,Slide,17 July 2016,2016-07-17,1
ARN/LS/83E15/2016/05,Arunachal Pradesh,Lower Subansiri,Hoj-Potin slide,National Highway 713-A,27.294886,93.803328,Debris,Slide,17 July 2016,2016-07-17,1
ARN/LS/83E15/2016/03,Arunachal Pradesh,Lower Subansiri,Possa-Potin slide,National Highway 713-A,27.307072,93.806008,Debris,Slide,17 July 2016,2016-07-17,1
ARN/LS/83E15/2016/02,Arunachal Pradesh,Lower Subansiri,Possa-Potin slide,National Highway 713-A,27.339267,93.802581,Debris,Slide,16 July 2016,2016-07-16,1
ARN/TWG/FM/2016-17/01,Arunachal Pradesh,Tawang,Famla Slide,,27.58741667,91.88694444,Debris,Slide,22 April 2016,2016-04-22,1
ARN/TWG/FM/2016-17/02,Arunachal Pradesh,Tawang,Famla Slide,,27.58741667,91.88694444,Earth / soil,Slide,22 April 2016,2016-04-22,1
ARN/TWG/NYD/2016-17/06,Arunachal Pradesh,Tawang,Nyungmadung Slide,,27.59152778,91.88044444,Earth / soil,Flows,23 April 2016,2016-04-23,1
ARN/TWNG/78M14/2016/0001,Arunachal Pradesh,Tawang,Famla Slide,,27.587417,91.886944,Debris,Slide,22 April 2016,2016-04-22,1
ARN/TWNG/78M14/2016/0002,Arunachal Pradesh,Tawang,Famla Slide,,27.587417,91.886944,,Slide,22 April 2016,2016-04-22,1
ARN/TWNG/78M14/2016/0022,Arunachal Pradesh,Tawang,New Lebrang slide,,27.589417,91.861444,,Slide,23 April 2016,2016-04-23,1
ARN/TWNG/78M14/2016/0004,Arunachal Pradesh,Tawang,Namet Slide,,27.591389,91.9025,Rock cum Debris,Slide,23 April 2016,2016-04-23,1
ARN/TWNG/78M14/2016/0008,Arunachal Pradesh,Tawang,All India Radio Colony Slide,,27.591806,91.865028,,Fall,22 April 2016,2016-04-22,1
ARN/TWNG/78M14/2016/0010,Arunachal Pradesh,Tawang,D.C. & S. P. Bungalows Slide,,27.593139,91.873889,,Slide,22 April 2016,2016-04-22,1
ARN/TWNG/78M14/2016/0023,Arunachal Pradesh,Tawang,Changpu sinking zone,,27.593361,91.879444,,Subsidence,23 April 2016,2016-04-23,1
ARN/TWNG/78M14/2016/0013,Arunachal Pradesh,Tawang,Duda Slide (District Urban Development Authority Colony),,27.594833,91.866417,Debris,Slide,22 April 2016,2016-04-22,1
ARN/TWNG/78M14/2016/0024,Arunachal Pradesh,Tawang,SSB Colony slide,,27.596639,91.878972,Debris,Slide,23 April 2016,2016-04-23,1
ARN/TWNG/78M14/2016/0025,Arunachal Pradesh,Tawang,Q.M. Store slide,,27.596639,91.878972,Debris,Slide,23 April 2016,2016-04-23,1
ARA/DIB/82P15/2024/01,Arunachal Pradesh,Lower Dibang Valley,,,28.38919722,95.92776111,Rock,flow,24 April 2024,2024-04-24,1
7386,Arunachal Pradesh,Papum Pare,Niti Vihar,,27.099285,93.614766,Soil,subsidence,16 March 2026,2026-03-16,1
7583,Arunachal Pradesh,Lower Siang,Magi basti,Roadside landslide near Magi basti,27.715081,94.692035,Debris,slide,28 June 2026,2026-06-28,1
MN/UKH/83L05/2018/001,Manipur,Ukhrul,Landslide at 1.5 km South of Leiting Village,NH102A.(Near Leiting Village),22.873558,92.755953,Debris,Slide,14 June 2018,2018-06-14,1
MAN/CHAN/83L03/2007/C-10,Manipur,Chandel,Bongyang slide,,24.40639,94.06583,Debris,Slide,7 September 2007,2007-09-07,1
MAN/TAM/83H09/2009-10/MN- 1,Manipur,Tamenglong,Tupul Slide,"Tupul (Along NH-53, Juncture of Tupul & Ijai Rivers)",24.792333,93.658222,Debris,Slide,10 June 2010,2010-06-10,1
MN/TGPL/83L03/2018/009,Manipur,Tengnoupal,Lokchao Landslide,Lokchao village,24.813306,93.243417,Rock,Slide,2 August 2018,2018-08-02,1
MAN/TAM/83H09/2007/C-1,Manipur,Tamenglong,Khongsong slide,,24.81722,93.51722,,,16 June 2007,2007-06-16,1
MAN/TAM/83H09/2007/C-13,Manipur,Tamenglong,Taobam landslide,,24.81778,93.51583,Debris,Slide,10 September 2007,2007-09-10,1
MAN/TAM/83H05/2008/C-19,Manipur,Tamenglong,Tamenglong-Khongsang road-2 slide,,24.83278,93.46333,Debris,Slide,1 July 2008,2008-07-01,1
MAN/TAM/83H05/2007/C-14,Manipur,Tamenglong,Lamkaolong slide,,24.84833,93.45917,Rock,Fall,12 September 2007,2007-09-12,1
MAN/TAM/83H05/2008/C-17,Manipur,Tamenglong,Tamenglong - Khongsang road slide,,24.84833,93.45917,Debris,Slide,19 June 2008,2008-06-19,1
MAN/TAM/83H09/2009-10/MN- 2,Manipur,Tamenglong,Lukhambi slide,"NH-53(Imphal-Jiribam, 3km from None towards Nungba)",24.862444,93.610639,,Slide,05 June 2010,2010-06-05,1
MAN/TAM/83H05/2008/C-18,Manipur,Tamenglong,Tamenglong-Khongsang road (near Tabanglong) slide,,24.90139,93.45389,Debris,Slide,19 June 2008,2008-06-19,1
MN/NON/83H13/2018/001,Manipur,Noney,Kotlen landslide,NH37/Kotlen,24.9252,94.3371,Rock,Slide,06 June 2018,2018-06-06,1
MN/UKH/83L01/2018/48,Manipur,Ukhrul,,Mayophung,24.983528,94.158333,Soil cum debris,Slide,12 June 2018,2018-06-12,1
MN/TAM/83H05/2018/1,Manipur,Tamenglong,,New Kanan Tamenglong,24.983806,93.497528,Debris,Slide,22 June 2018,2018-06-22,1
MN/TMG/83H01/2018/001,Manipur,Tamenglong,Makru Bridge Landslide,NH37/ ImphalJiribam Highway/ Makru Bridge,24.985167,93.508306,Debris,Slide,3 May 2018,2018-05-03,1
MAN/TAM/83H09/2007/C-2,Manipur,Tamenglong,Tamenglong slide,,24.98611,93.50583,Debris,Slide,24 August 2007,2007-08-24,1
MAN/TAM/83H09/2007/C-7A,Manipur,Tamenglong,Capentry area slide,,24.99083,93.50583,Debris,Slide,28 August 2007,2007-08-28,1
MAN/TAM/83H09/2007/C-7B,Manipur,Tamenglong,Capentary area-2 slide,,24.99083,93.50583,Debris,Slide,28 August 2007,2007-08-28,1
MAN/TAM/83H05/2007/C-5,Manipur,Tamenglong,Guigailuang-2 slide,,24.99306,93.4975,Debris,Slide,28 August 2007,2007-08-28,1
MN/UKH/83L01/2018/14,Manipur,Ukhrul,,Lamlai Chingphei,24.994278,94.205917,Rock cum debris,Slide,28 August 2007,2007-08-28,1
MAN/TAM/83H09/2007/C-6,Manipur,Tamenglong,Tamenglong-2 slide,,24.99694,93.50222,,,28 August 2007,2007-08-28,1
MN/KAN/83L01/2018/47,Manipur,Kangpokpi,,Khonkon village,24.997972,94.020444,Rock cum debris,Slide,28 August 2007,2007-08-28,1
MN/TMG/83H09/2018/001,Manipur,Tamenglong,New Salem Slide,New Salem (Along TamenglongTamei State Highway),25.047833,92.789306,Soil,Slide,11 July 2018,2018-07-11,1
MAN/SEN/83K03/2007/C-12,Manipur,Senapati,Shajouba landslide,,25.47217,94.15433,Debris,Slide,09 September 2007,2007-09-09,1
MA/TAM/83H05/2024/01,Manipur,Tamenglong,Dimthanlong landslide,Dimthanlong,24.979,93.496,Earth,Slide,29 July 2024,2024-07-29,1
MN-33/2011,Manipur,TAMENGLONG,Gadailong slide,,24.985,93.52113889,Earth,Slide,31 May 2011,2011-05-31,1
MN-34/2011,Manipur,TAMENGLONG,Sinam Kuki SLIDE,,24.79083333,93.72333333,Rock,Slide,6 July 2011,2011-07-06,1
ML-94/2011,Manipur,Ri-Bhoi,Umsaw Khwan slide,,25.67469444,91.88652778,,Nil,26 June 2011,2011-06-26,1
MN-10/2010,Manipur,Tamenglong,None slide,,24.86469444,93.62116667,,Nil,08 June 2010,2010-06-08,1
MN-11/2010,Manipur,Tamenglong,Khumji slide,,24.86297222,93.62397222,,Nil,08 June 2010,2010-06-08,1
MN-12/2010,Manipur,Tamenglong,Khoupum slide,,24.73133333,93.92738889,,Nil,28 March 2010,2010-03-28,1
Manipur/ Ukhrul/ 83 L5/ 2015/01,Manipur,Ukhrul,Phungyar Landslide,Phungyar village,24.82022222,94.35255556,Debris,Deep translational,30 July 2015,2015-07-30,1
6822,Manipur,Noney,,NH-37,24.846509,93.573533,Debris,slide,31 May 2025,2025-05-31,1
6831,Manipur,Noney,,NH-37,24.863924,93.617853,Debris,slide,05 June 2025,2025-06-05,1
MEG/EJH/83CO8/2018/01,Meghalaya,East Jaintia Hills,Sonapur 4km mile stone,NH-6,25.09178,92.35469,Rock,Slide,07 May 2018,2018-05-07,1
MEGH/JH/83C08/2007/D-23,Meghalaya,Jaintia Hills,Sonapur slide,NH-44,25.12186,92.388583,,Flow,31 July 2007,2007-07-31,1
MEGH/JH/83C08/2007/D-22,Meghalaya,Jaintia Hills,Tongseng slide,NH - 44,25.134194,92.383528,Rock cum Debris,Slide,31 July 2007,2007-07-31,1
MEGH/WKH/78O04/2008/D-26,Meghalaya,West Khasi Hills,Rajai slide,,25.201,91.234,Debris,Fall,12 August 2008,2008-08-12,1
MEGH/WKH/78O04/2008/D-27,Meghalaya,West Khasi Hills,Shipur slide,,25.20283,91.20908,Debris,Fall,10 August 2008,2008-08-10,1
MEG/EKH/78O15/2022/01,Meghalaya,East Khasi Hills,,,25.296,91.932,Rock,Slide,04 April 2022,2022-04-04,1
MEGH/EKH/78O11/2009/D-37,Meghalaya,East Khasi Hills,Umstew landslide,Road (Shillong-Sohra),25.300389,91.726722,Debris,Slide,29 June 2009,2009-06-29,1
ML/SWKH/78O07/2014/01,Meghalaya,South West Khasi Hills,Tynnai Ground crack,Tynnai Village,25.31458,91.45242,Rock,Creep,6 August 2013,2013-08-06,1
MEGH/WKH/78O07/2007/D-10,Meghalaya,West Khasi Hills,Tynnai (West) slide,,25.31488,91.44913,Rock cum Debris,Slide,19 July 2007,2007-07-19,1
MEGH/WKH/78O07/2007/D-11,Meghalaya,West Khasi Hills,Rangjadong slide,,25.31488,91.33367,Debris,Slide,19 July 2007,2007-07-19,1
ME/EKJ/78O15/2015/140,Meghalaya,East Khasi Hills,,1 km SW of Myllad village,25.315176,91.923021,Rock,Slide,19 July 2007,2007-07-19,1
MEGH/WKH/78O07/2007/D-12,Meghalaya,West Khasi Hills,Tynnai East slide,,25.31848,91.45262,Debris,Fall,19 July 2007,2007-07-19,1
ME/EKJ/78O15/2015/134,Meghalaya,East Khasi Hills,,Approach road to Nongsder,25.320833,91.9275,Rock,Slide,19 July 2007,2007-07-19,1
MEGH/WKH/78O07/2007/D-15,Meghalaya,West Khasi Hills,Jashiar East slide,,25.38803,91.46977,Debris,Slide,16 June 2007,2007-06-16,1
MEGH/WKH/78O11/2007/D-14,Meghalaya,West Khasi Hills,Jakrem East slide,,25.40023,91.5159,Debris,Slide,16 June 2007,2007-06-16,1
MEGH/WKH/78O07/2007/D-4,Meghalaya,West Khasi Hills,Mawthawiang slide,,25.4013,91.45855,Debris,Slide,18 August 2007,2007-08-18,1
MG/SGH/78K11/2018/7,Meghalaya,South Garo hills,Nengkhra-Nongalbibra road slide,NH-62,25.403061,90.724166,Debris,Slide,18 August 2007,2007-08-18,1
MEGH/WKH/78O07/2007/D-5,Meghalaya,West Khasi Hills,Umjarain East slide,,25.40547,91.53712,Rock cum Debris,Slide,18 August 2007,2007-08-18,1
ME/EKJ/78O15/2015/87,Meghalaya,East Khasi Hills,,lyngshing approach road,25.407917,91.998889,Rock,Fall,18 August 2007,2007-08-18,1
MEGH/WKH/78O07/2007/D-3,Meghalaya,West Khasi Hills,Laitlawsnai slide,,25.425,91.405,Debris,Slide,18 August 2007,2007-08-18,1
MEGH/JH/78O15/2009/D-36,Meghalaya,Jaintia Hills,Laitlongkot slide,NH-40 (Shillong-Pynursla),25.43561,91.862056,Debris,Slide,17 July 2009,2009-07-17,1
MEGH/WKH/78O07/2007/D-13,Meghalaya,West Khasi Hills,Mawpon slide,,25.44465,91.34622,Debris,Slide,17 July 2007,2007-07-17,1
MEGH/WKH/78O06/2007/D-8,Meghalaya,West Khasi Hills,Nongjyllieh slide,,25.50335,91.28335,Rock,Slide,25 July 2007,2007-07-25,1
MEG/EKH/78O10/2021/04,Meghalaya,East Khasi Hills,,,25.50368056,91.72342222,Rock,Slide,19 July 2007,2007-07-19,1
MEGH/WKH/78O06/2007/D-9,Meghalaya,West Khasi Hills,Nongjyllieh-2 slide,,25.50667,91.28318,Debris,Slide,19 July 2007,2007-07-19,1
MEGH/WGH/78K02/2007/D-19,Meghalaya,West Garo Hills,Tura town (Rishipara) slide,,25.51028,90.21678,,,27 July 2007,2007-07-27,1
MEGH/WKH/78O06/2007/D-7,Meghalaya,West Khasi Hills,Mawkawah slide,PWD road (SH),25.51973,91.28443,Debris,Fall,25 July 2007,2007-07-25,1
MEGH/WKH/78O06/2007/D-6,Meghalaya,West Khasi Hills,Lawab slide,Road (Nongstoin by pass),25.5208,91.25985,Rock cum Debris,Slide,25 July 2007,2007-07-25,1
MEGH/EKH/83C02/2009/D-34,Meghalaya,East Khasi Hills,Puriang-4 slide,NH-44 (Shillong - Silchar),25.54231,92.1,Rock cum Debris,Slide,1 July 2009,2009-07-01,1
MEGH/EKH/83C02/2009/D-31,Meghalaya,East Khasi Hills,Puriang slide,NH-44 (Shillong - Silchar),25.54261,92.10867,Debris,Slide,1 July 2009,2009-07-01,1
MEGH/EKH/83C02/2009/D-35,Meghalaya,Jaintia Hills,Kongong-2 slide,NH-44 (Shillong-Silchar road),25.54261,92.09842,Debris,Slide,1 July 2009,2009-07-01,1
MEGH/EKH/83C02/2009/D-33,Meghalaya,East Khasi Hills,Puriang-3 slide,NH-44 (Shillong - Silchar),25.54264,92.10214,Rock,Slide,1 July 2009,2009-07-01,1
MEGH/EKH/83C02/2009/D-32,Meghalaya,East Khasi Hills,Puriang-2 slide,NH-44 (Shillong - Silchar),25.54328,92.10478,Rock,Fall,1 July 2009,2009-07-01,1
MEGH/EKH/78O14/2007/D-17,Meghalaya,East Khasi Hills,Nongrimbah slide,,25.56667,91.90194,Debris,Slide,08 September 2007,2007-09-08,1
ML/EKH/78O14/2014/03,Meghalaya,East Khasi Hills,Barapathar,Barapathar,25.57822,91.86545,Debris,Slide,23 September 2014,2014-09-23,1
MEG/EKH/78O14/2024/01,Meghalaya,East Khasi Hills,,,25.6251,91.9118,Slope cut debris (weathered quartzite),Slide,27 May 2024,2024-05-27,1
MEG/RB/78O14/2017/01,Meghalaya,Ri-Bhoi,Tharia slide,Tharia village,25.663444,91.915944,Debris,Slide,17 June 2017,2017-06-17,1
MEGH/WKH/78O02/2007/D-1,Meghalaya,West Khasi Hills,Nongjri (Porthangjah) slide,,25.68625,91.118358,Debris,Fall,15 September 2007,2007-09-15,1
MEG/WKH/78O10/2016/51,Meghalaya,West Khasi Hills,,NongkhlawPatharkhammah road,25.687056,91.6485,Debris,Slide,15 September 2007,2007-09-15,1
MEGH/WKH/78O02/2007/D-2,Meghalaya,West Khasi Hills,Tynrong Mawsaw slide,,25.69483,91.11836,Debris,Slide,15 September 2007,2007-09-15,1
ME/EKJ/78O14/2015/23,Meghalaya,East Khasi Hills,,NH-40,25.695552,91.903777,Debris,Slide,15 September 2007,2007-09-15,1
ML/RIB/78N16/2014/06,Meghalaya,Ri-Bhoi,19 Mile,GS Road,26.00294,91.86692,Debris,Slide,23 September 2014,2014-09-23,1
ML/RIB/78N16/2014/02,Meghalaya,Ri-Bhoi,17 Mile B,GS road,26.02547,91.87158,Earth,Slide,20 September 2014,2014-09-20,1
3344,Meghalaya,West Jaintia Hills,,,25.47704743,92.16831285,Debris,Slide,25 May 2020,2020-05-25,1
3348,Meghalaya,West Jaintia Hills,,,25.46307925,92.25426106,Soil,Slide,26 May 2020,2020-05-26,1
3215,Meghalaya,East Khasi Hills,,,25.5667327,91.9146185,Debris,Slide,04 October 2024,2024-10-04,1
3351,Meghalaya,West Jaintia Hills,,,25.28422636,92.11294194,Debris,Slide,26 June 2020,2020-06-26,1
3345,Meghalaya,West Jaintia Hills,,,25.2842285,92.11314877,Rock,Slide,26 May 2020,2020-05-26,1
ME/SWKH/78O07/2024/4,Meghalaya,South West Khasi Hills,Manad slide-1,Manad village,25.29967,91.46108,Debris,Slide,15 June 2024,2024-06-15,1
