slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material,movement_type,history,event_date,landslide
SKM-10/2012-13,Sikkim,North Sikkim,Singik Slide,On Mangan-Chungthang road,27.56941667,88.65272222,Debris,Slide,22 June 2012,2012-06-22,1
SKM-11/2012-13,Sikkim,North Sikkim,Deodara Slide,On Mangan-Chungthang road,27.51491667,88.56313889,Debris,Slide,17 July 2012,2012-07-17,1
TR/GMT/79 M10/2018/006,Tripura,Gomati,Taidu landslide (opposite to Taidu Police Station),"Near Taidu Police Station, Ompi Block",23.793444,91.552056,Soil,Slide,20 May 2018,2018-05-20,1
TR/GMT/79M10/2018/007,Tripura,Gomati,Taidu Police Station landslide,"Taidu, Ompi",23.794253,91.553533,Soil,Slide,20 May 2018,2018-05-20,1
TRI/TRI-W/79M05/2009/G-1,Tripura,West Tripura,Kayerpur Landslide,,23.85417,91.34361,Debris,Slide,10 July 2009,2009-07-10,1
TR/GMT/79 M09/2018/008,Tripura,Gomati,Sontang no.3 landslide,"Palku, Ompi Block",23.980333,91.475278,Soil,Slide,18 May 2018,2018-05-18,1
TR/WTR/79 M09/2018/004,Tripura,West Tripura,Narengbari landslide,"Champabari, Belbari Block (formerly part of Jirania block)",24.003417,91.45425,Debris,Slide,18 May 2018,2018-05-18,1
TR/WTR/79M05/2018/003,Tripura,West Tripura,Belfung landslide,"Kumbukcherra area, Hezamara Block",24.325444,94.232583,Soil,Slide,18 May 2018,2018-05-18,1
TR/WTR/78P08/2018/001,Tripura,West Tripura,Birchandrapara landslide,"Subolsingh, Hezamara R.D. Block",24.781694,93.776056,Soil,Slide,18 May 2018,2018-05-18,1
TR-3/09-10,Tripura,Dhalai,Datarampara slide,,23.9,91.75622222,,,3 June 2010,2010-06-03,1
Tripura/Dhalai/78P16/2017/002,Tripura,Dhalai,Vidya Mohan Para landslide 2,West Lambuchhara (~4.5 km from Khowai-Kamalpur State Highway),24.16966667,91.76686111,Debris,Slide,3 June 2017,2017-06-03,1
7454,Tripura,West Tripura,Badharghat,Near hill slope behind residential area,23.802772,91.272189,Soil and Rock,Slide,30 May 2026,2026-05-30,1
